time	type	subtype	content
348.383	event	input	poke_4
348.475	event	input	poke_4_out
348.500	event	input	poke_4
348.621	event	input	poke_4_out
348.692	event	input	poke_4
350.103	event	input	poke_4_out
351.104	event	timer	consumption_timer
351.104	state		inter_trial_interval
352.181	event	sync	rsync
352.399	state		initiation_state
353.055	event	input	poke_4
354.115	event	input	poke_4_out
355.179	event	input	poke_5
355.180	state		choice_state
355.221	event	input	poke_5_out
355.524	event	input	poke_4
355.525	state		chose_left
355.526	variable	print	{"n_trials": 30, "n_rewards": 16, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": false, "mov_ave": 0.8365086, "threshold_crossed": true}
355.718	event	sync	rsync
356.027	state		no_reward
356.127	state		reward_consumption
356.459	event	input	poke_4_out
357.460	event	timer	consumption_timer
357.460	state		inter_trial_interval
359.671	event	input	poke_5
359.758	event	input	poke_5_out
360.032	state		initiation_state
360.042	event	input	poke_5
360.043	state		forced_choice_left
360.173	event	input	poke_5_out
360.620	event	input	poke_4
360.621	state		chose_left
360.622	variable	print	{"n_trials": 31, "n_rewards": 17, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.8365086, "threshold_crossed": true}
361.122	state		reward_left
361.193	state		reward_consumption
365.252	event	sync	rsync
365.518	event	input	poke_4_out
365.530	event	input	poke_4
365.748	event	input	poke_4_out
366.748	event	timer	consumption_timer
366.748	state		inter_trial_interval
367.881	state		initiation_state
371.033	event	sync	rsync
372.847	event	sync	rsync
375.742	event	input	poke_5
375.744	state		choice_state
375.847	event	input	poke_5_out
376.180	event	input	poke_4
376.181	state		chose_left
376.182	variable	print	{"n_trials": 32, "n_rewards": 18, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.8557194, "threshold_crossed": true}
376.683	state		reward_left
376.697	event	sync	rsync
376.754	state		reward_consumption
382.921	event	sync	rsync
383.000	event	input	poke_4_out
383.020	event	input	poke_4
386.724	event	input	poke_4_out
387.455	event	input	poke_4
387.587	event	sync	rsync
387.891	event	input	poke_4_out
388.892	event	timer	consumption_timer
388.892	state		inter_trial_interval
389.655	event	input	poke_5
389.705	event	input	poke_5_out
390.439	event	input	poke_4
390.686	state		initiation_state
391.202	event	input	poke_4_out
391.976	event	input	poke_4
392.846	event	input	poke_4_out
392.866	event	input	poke_4
392.977	event	input	poke_4_out
393.366	event	input	poke_5
393.367	state		choice_state
393.435	event	input	poke_5_out
393.764	event	input	poke_4
393.765	state		chose_left
393.766	variable	print	{"n_trials": 33, "n_rewards": 19, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.8726727, "threshold_crossed": true}
394.267	state		reward_left
394.338	state		reward_consumption
396.450	event	sync	rsync
